etf,distribucion,h_valor,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
ieem,gauss,400,-0.05687353098171395,-0.06382095312990364,-0.06043716905303974,-0.06872872566908492,-0.07110338018941964,-0.03867417295240179,-0.04239632954200748,-0.04020472370616436,-0.04467521295455227,-0.04703756737654571
psrm,gauss,400,-0.06927818326047082,-0.07686998326787338,-0.07312191776597893,-0.08210249179541007,-0.08435792392148773,-0.04805294141415944,-0.05244107279644524,-0.04982170485597955,-0.0550001740108439,-0.05724921795448494
vwo,gauss,400,0.2312348260153909,0.23053444194913367,0.2289210326918215,0.2266880420889067,0.2245861557535552,0.21540033831721608,0.21832119036386263,0.2149986223976121,0.21685444904122503,0.21476090686606844
eem,gauss,450,0.01994822797343359,0.01624394624723097,0.01769886502909092,0.01298200329464033,0.01130238105647111,0.02140693837732555,0.02054870378728161,0.02062300325864064,0.01919049651900923,0.01751433411211387
eemo,gauss,450,-0.04805712637439301,-0.05415574290397886,-0.05065181526943402,-0.05770864549144639,-0.05920929697311847,-0.03101098572117735,-0.03433766211653474,-0.03211880795453473,-0.03595666705618598,-0.03745360045081397
eemv,gauss,450,-0.05131071333545926,-0.05775239057179995,-0.05416147430115722,-0.06163575442065806,-0.06322497439304783,-0.03331640598262558,-0.03699191206139381,-0.03462264118482795,-0.03887657818873327,-0.04046704967161262
fem,gauss,450,-0.04306110159759534,-0.04859612155679686,-0.04527930327729464,-0.05167678301194223,-0.05321723585524977,-0.0275352610132278,-0.03018315331032035,-0.0283589847103053,-0.03142969225097698,-0.03296780635793645
ieem,gauss,450,-0.04340533608581179,-0.04940303289647721,-0.04621506579187075,-0.05327943581637874,-0.05508031741301723,-0.028906247068948,-0.03203671038472381,-0.03012601822566687,-0.03385712596818236,-0.03565045887092856
psrm,gauss,450,-0.06234920367555652,-0.06912218234327715,-0.0654317935944092,-0.07331802241773644,-0.07515323551813577,-0.0436712808184687,-0.04768110713377607,-0.04509881317738961,-0.04975146443382559,-0.05158216474247767
vwo,gauss,450,0.24066314295191296,0.24001901759561173,0.2386191044018778,0.23666911861163192,0.2350921682675379,0.22620818507046583,0.22875450969506253,0.22570749197672488,0.22730044860554396,0.22572986877918452
eem,gauss,500,0.02730914707545599,0.02451106229625867,0.02556088193058221,0.02194748995042931,0.02052281873282855,0.02535416106770966,0.02510921283431127,0.02475877289277078,0.02404419540197717,0.02262477794129988
eemo,gauss,500,-0.03432925487381455,-0.03942959447295208,-0.0362732632168067,-0.04211836500046519,-0.04332685422309006,-0.02084766768370408,-0.0234030441441135,-0.02162126083252627,-0.02456425374672443,-0.02577167396416091
eemv,gauss,500,-0.04283746653172713,-0.04847139476135554,-0.04513711250126838,-0.05160838917746463,-0.05289040357478504,-0.02808860069842568,-0.03121931457036278,-0.02915199042377456,-0.03275389126402293,-0.0340391773186442
fem,gauss,500,-0.0371956015538859,-0.04198016329024386,-0.03892072790418905,-0.04439101137619181,-0.04571119150999172,-0.02419769592366745,-0.02636876208280911,-0.02480512485233118,-0.02730709992297186,-0.0286250906226166
ieem,gauss,500,-0.02625425535198786,-0.03140010661040501,-0.02847965322111894,-0.03448473860090634,-0.03581556138918586,-0.01487152896380053,-0.01744668343174197,-0.01582398887227222,-0.01888491535842024,-0.02020912972110431
psrm,gauss,500,-0.05679194368124618,-0.0632518157198737,-0.05942922948103052,-0.06683108925064721,-0.06828007743096214,-0.03877665167105658,-0.04267051345460418,-0.04002421354228493,-0.04447035454463426,-0.04591446458015502
vwo,gauss,500,0.24986621626279212,0.2496897199565204,0.24835880956091527,0.2471156904563064,0.245699575880879,0.2358096233466082,0.23865985471147663,0.23554867254073625,0.2376062023547652,0.236193411277097
eem,t,100,-0.33896284315148817,-0.3672889022586371,-0.405241753557805,-0.45830190180489794,-0.5072597343593696,-0.24487224588533732,-0.2616100234050776,-0.2739585668470119,-0.30396620030466226,-0.35240291074009417
